단어,빈도,비율(%)
콕콕,1,0.01
싫었어,1,0.01
전압의,1,0.01
건조기를,1,0.01
127v인,1,0.01
도착했음을,1,0.01
어댑터를,1,0.01
3주를,1,0.01
파업일까요,1,0.01
가게입니다,1,0.01
찍어서,1,0.01
부담해야,1,0.01
편견,1,0.01
우드로,1,0.01
마감된,1,0.01
tom,1,0.01
dixon,1,0.01
중국,1,0.01
청구금액의,1,0.01
구성에,1,0.01
최종상품을,1,0.01
청소해야,1,0.01
만들었어요,1,0.01
2를,1,0.01
신뢰성에도,1,0.01
누구,1,0.01
책임인가요,1,0.01
보고되지,1,0.01
게시되고,1,0.01
국내에서,1,0.01
파업이,1,0.01
댄서,1,0.01
전달되었는지,1,0.01
열기가,1,0.01
전이었는데,1,0.01
22일이었어요,1,0.01
규모의,1,0.01
브루터스,1,0.01
칫솔을,1,0.01
생일도,1,0.01
과일도,1,0.01
먹었으니,1,0.01
배송됨이라고,1,0.01
서브를,1,0.01
카드classe10com,1,0.01
adap64gb,1,0.01
rec,1,0.01
차이,1,0.01
bought,1,0.01
pig,1,0.01
in,1,0.01
poke,1,0.01
망원경,1,0.01
없기를,1,0.01
3x2,1,0.01
광대아아아아아아아아아아아아아아아아,1,0.01
50미터,1,0.01
원했다면,1,0.01
3미터가,1,0.01
1x50을,1,0.01
구입하겠습니다,1,0.01
파트너이건,1,0.01
아니건,1,0.01
도망갈,1,0.01
extra,1,0.01
42개만,1,0.01
있음,1,0.01
길어지는,1,0.01
과정의,1,0.01
1kg,1,0.01
건조기,1,0.01
5kg인,1,0.01
스퀴지와,1,0.01
그림,1,0.01
한쌍,1,0.01
연락하겠다고,1,0.01
헐거웠으며,1,0.01
송장이나,1,0.01
경쟁사보다,1,0.01
문제없이,1,0.01
영양표는,1,0.01
불순물이,1,0.01
분리유청단백질이,1,0.01
액자가,1,0.01
노력이,1,0.01
필요했어요,1,0.01
기간으로,1,0.01
예상되었지만,1,0.01
존중하지,1,0.01
도와주셔야,1,0.01
peer,1,0.01
boat용,1,0.01
yamaha,1,0.01
선외기,1,0.01
모터,1,0.01
후드,1,0.01
22일로,1,0.01
알려드린,1,0.01
직면했습니다,1,0.01
배송상태를,1,0.01
아이폰,1,0.01
충전에도,1,0.01
13일까지,1,0.01
카펫에,1,0.01
회색이기,1,0.01
뚜렷하게,1,0.01
꿈꾸던,1,0.01
4통을,1,0.01
우체국가서,1,0.01
수령해야했는데,1,0.01
2개샀어요,1,0.01
고소하겠습니다,1,0.01
구조,1,0.01
불편함,1,0.01
탁월한,1,0.01
강조할,1,0.01
수량이,1,0.01
2kg,1,0.01
3kg,1,0.01
1kg이,1,0.01
넣었던,1,0.01
파일을,1,0.01
반납해야겠어요,1,0.01
암퇘지를,1,0.01
입양하는데,1,0.01
기저귀,1,0.01
교환대의,1,0.01
더러워졌으며,1,0.01
욕조의,1,0.01
다리와,1,0.01
마스킹,1,0.01
고정되어,1,0.01
느낌은,1,0.01
휴가,1,0.01
중이었다고,1,0.01
답하지,1,0.01
안좋아서,1,0.01
1968년에,1,0.01
군대에서,1,0.01
복무했습니다,1,0.01
기구들은,1,0.01
장치들은,1,0.01
칼에,1,0.01
베지,1,0.01
과정을,1,0.01
위험한,1,0.01
2을,1,0.01
4만,1,0.01
되지만,1,0.01
절감,1,0.01
높아지고,1,0.01
빨라져야,1,0.01
누락됐는지,1,0.01
알고싶고,1,0.01
이틀동안,1,0.01
짧아졌어요,1,0.01
속임수입니다,1,0.01
보드가,1,0.01
찢어졌으며,1,0.01
게임은,1,0.01
게임과도,1,0.01
판의,1,0.01
택배기사에게,1,0.01
전화했지만,1,0.01
가짜를,1,0.01
건조하지,1,0.01
목욕타올을,1,0.01
다루지,1,0.01
보려고,1,0.01
나빠서,1,0.01
바구니,1,0.01
변경되었으며,1,0.01
only,1,0.01
received,1,0.01
lamp,1,0.01
끝났어요,1,0.01
나비매트가,1,0.01
기대,1,0.01
이상이었습니다,1,0.01
마감에,1,0.01
라니스터한테,1,0.01
품절이네요,1,0.01
30레알에,1,0.01
종류입니다,1,0.01
걸쇠,1,0.01
2일인데,1,0.01
지불한다는,1,0.01
빨랐으나,1,0.01
펀치로,1,0.01
스스로,1,0.01
보유하지,1,0.01
부분적으로만,1,0.01
수령인과,1,0.01
훔침,1,0.01
청구하시겠습니까,1,0.01
표준,1,0.01
게임도,1,0.01
자신들이,1,0.01
데에도,1,0.01
세무,1,0.01
당국에,1,0.01
거짓,1,0.01
125개를,1,0.01
250개인데,1,0.01
후회합니다,1,0.01
거라는,1,0.01
받았다,1,0.01
안돌아감,1,0.01
싫었음,1,0.01
8일인데,1,0.01
엠블럼이,1,0.01
거꾸로되어,1,0.01
역전,1,0.01
데미지가,1,0.01
데스크탑만,1,0.01
침대처럼,1,0.01
두껍고,1,0.01
시트입니다,1,0.01
bak,1,0.01
bk2121에서,1,0.01
100w,1,0.01
50w,1,0.01
변압기였습니다,1,0.01
상품수령하러,1,0.01
갔기,1,0.01
겨우,1,0.01
무비를,1,0.01
배트맨이,1,0.01
애플리케이션이,1,0.01
단계별로,1,0.01
기한에도,1,0.01
걸렸기,1,0.01
경쟁업체에,1,0.01
96개,1,0.01
2x48,1,0.01
1박스,1,0.01
10억,1,0.01
카지노,1,0.01
스티커이며,1,0.01
색이므로,1,0.01
청소할,1,0.01
쉬웠습니다,1,0.01
결제했음에도,1,0.01
조언대로,1,0.01
계속하라는,1,0.01
도중에,1,0.01
취해지지,1,0.01
전화기는,1,0.01
보내지기를,1,0.01
안왔기,1,0.01
이루어지고,1,0.01
중이었기,1,0.01
주문했는지,1,0.01
건강상의,1,0.01
소비한,1,0.01
늦어진,1,0.01
통신사인지는,1,0.01
그것도,1,0.01
상관없지만,1,0.01
책임집니다,1,0.01
장소에,1,0.01
아기들에게는,1,0.01
빡빡해서,1,0.01
아기들이,1,0.01
없나요,1,0.01
리셀러,1,0.01
역할을,1,0.01
운영하며,1,0.01
최종,1,0.01
도달했는지,1,0.01
사항이며,1,0.01
nizzio,1,0.01
하이드레이션,1,0.01
245g,1,0.01
피오리,1,0.01
이니지오,1,0.01
클래식,1,0.01
100ml,1,0.01
피오리는,1,0.01
스테레오를,1,0.01
예전의,1,0.01
전달이,1,0.01
입국,1,0.01
받았음,1,0.01
수유베개,1,0.01
구매해요,1,0.01
실행되지,1,0.01
보상을,1,0.01
딸기,1,0.01
유청은,1,0.01
희석되거나,1,0.01
혼합되지,1,0.01
위조품과,1,0.01
미니청취기인데,1,0.01
안내도,1,0.01
인식이,1,0.01
오늘을,1,0.01
포함해,1,0.01
인어호는,1,0.01
9일까지는,1,0.01
태만합니다,1,0.01
끊었고,1,0.01
방탕,1,0.01
느낌이었는데,1,0.01
레플리카이고,1,0.01
최악이네요,1,0.01
반송하기를,1,0.01
말았어야,1,0.01
의무를,1,0.01
조립시,1,0.01
불규칙하게,1,0.01
아크릴로,1,0.01
만들어졌다,1,0.01
선반에,1,0.01
택배기사님은,1,0.01
품목별로,1,0.01
미터,1,0.01
봉인도,1,0.01
주문서도,1,0.01
발송인을,1,0.01
제시되었지만,1,0.01
모델도,1,0.01
색상인,1,0.01
보라색을,1,0.01
시계인데,1,0.01
더러워졌습니다,1,0.01
부족은,1,0.01
설명합니다,1,0.01
돈과,1,0.01
우송료,1,0.01
화분,1,0.01
청구하도록,1,0.01
pg40,1,0.01
틀렸을,1,0.01
그렇지는,1,0.01
리필되었습니다,1,0.01
막혀,1,0.01
불균형입니다,1,0.01
하였음에도,1,0.01
연락안내도,1,0.01
떠나는,1,0.01
진작,1,0.01
전송하는,1,0.01
데이터를,1,0.01
잃어버렸습니다,1,0.01
바우처에,1,0.01
적립금,1,0.01
헌신,1,0.01
고객과,1,0.01
타협하지,1,0.01
보관하십시오,1,0.01
1이었습니다,1,0.01
날짜와,1,0.01
1주일,1,0.01
섬유유연제가,1,0.01
반품했고,1,0.01
jolitex,1,0.01
셔닐,1,0.01
침대보,1,0.01
89,1,0.01
74,1,0.01
90입니다,1,0.01
브라운이,1,0.01
187,1,0.01
67에,1,0.01
끝났습니다,1,0.01
안받았어요,1,0.01
불만족함,1,0.01
추천했습니다,1,0.01
교환원과,1,0.01
라인,1,0.01
로봇만,1,0.01
응답하면,1,0.01
업무,1,0.01
주는데,1,0.01
해주고,1,0.01
360용,1,0.01
장치였습니다,1,0.01
광고에서도,1,0.01
나왔는데,1,0.01
어쩌죠,1,0.01
바꾸는,1,0.01
다르다고,1,0.01
피스톤,1,0.01
발에만,1,0.01
사용되어,1,0.01
지지하는,1,0.01
사정이,1,0.01
주문해야,1,0.01
목록에는,1,0.01
코버드론은,1,0.01
학생들과,1,0.01
부드러우며,1,0.01
풀리고,1,0.01
차례에,1,0.01
개선하고,1,0.01
쉬움,1,0.01
표시하거나,1,0.01
밟지,1,0.01
않아야,1,0.01
cian,1,0.01
932xl,1,0.01
시안색,1,0.01
이유도,1,0.01
가져갈게,1,0.01
봤더라면,1,0.01
통지,1,0.01
영업일로,1,0.01
해결하기가,1,0.01
토기,1,0.01
led용,1,0.01
모듈을,1,0.01
사우나를,1,0.01
사우나입니다,1,0.01
시스템을,1,0.01
v2를,1,0.01
chroma를,1,0.01
200레알,1,0.01
저렴하게,1,0.01
반품되었으며,1,0.01
추천하는데,1,0.01
시도하지,1,0.01
본사로,1,0.01
보낸다,1,0.01
올해,1,0.01
이맘때는,1,0.01
펌프가,1,0.01
신용카드에서,1,0.01
공제되었는데,1,0.01
74xl,1,0.01
75xl,1,0.01
안경은,1,0.01
중이며,1,0.01
전화해도,1,0.01
요구했는데,1,0.01
비밀번호를,1,0.01
잊어버렸고,1,0.01
로그인할,1,0.01
리몬첼로,1,0.01
이탈리아노,1,0.01
프리미엄,1,0.01
코포,1,0.01
700ml,1,0.01
포기하고,1,0.01
무선,1,0.01
키보드는,1,0.01
pc와,1,0.01
누렇게,1,0.01
그릴,1,0.01
그릇의,1,0.01
지점에,1,0.01
용접,1,0.01
폐차장에서,1,0.01
aro,1,0.01
transbike만,1,0.01
atrio,1,0.01
벽걸이가,1,0.01
이름은,1,0.01
sileda가,1,0.01
기록부에,1,0.01
배송되었나요,1,0.01
사라집니다,1,0.01
전자상거래에서,1,0.01
불행합니다,1,0.01
가품인걸,1,0.01
가루가,1,0.01
물었습니다,1,0.01
kem,1,0.01
deck를,1,0.01
veiro를,1,0.01
청취자의,1,0.01
전화번호인가요,1,0.01
500mg이라고,1,0.01
캡슐에는,1,0.01
75mg만,1,0.01
도착하기,1,0.01
태어나는,1,0.01
덮는,1,0.01
고무처럼,1,0.01
열지도,1,0.01
교환해주세요,1,0.01
팁이,1,0.01
새걸로,1,0.01
리필되었다는,1,0.01
관심과,1,0.01
부족함,1,0.01
드리는,1,0.01
주셨기,1,0.01
블랙스컬,1,0.01
분리단백질을,1,0.01
농축단백질을,1,0.01
농축된,1,0.01
사기당했어요,1,0.01
지압,1,0.01
수령해야해서,1,0.01
싫었는데,1,0.01
산거,1,0.01
배송되더라구요,1,0.01
더이상,1,0.01
안사겠습니다,1,0.01
3회분을,1,0.01
2회에,1,0.01
matel,1,0.01
hasbro,1,0.01
약속하는,1,0.01
라이선스,1,0.01
microsoft,1,0.01
씰과,1,0.01
라이선스는,1,0.01
인쇄되어,1,0.01
이상하다는,1,0.01
라이센스도,1,0.01
가구가,1,0.01
나무펜던트만,1,0.01
우체국에는,1,0.01
불만족스러워,1,0.01
저렴하지,1,0.01
곳을,1,0.01
알려주지도,1,0.01
답답하고,1,0.01
shoptaime에서,1,0.01
타월을,1,0.01
추가하면,1,0.01
누구신지,1,0.01
모르겠는데,1,0.01
nf만,1,0.01
봐라,1,0.01
제품정보가,1,0.01
나와있을텐데,1,0.01
전통적이라고,1,0.01
뒷면,1,0.01
발송까지,1,0.01
오랜만이네요,1,0.01
임박해,1,0.01
waiting,1,0.01
or,1,0.01
money,1,0.01
back,1,0.01
선반만,1,0.01
어제에서야,1,0.01
기한에,1,0.01
우수성으로,1,0.01
완성,1,0.01
근처에,1,0.01
통을,1,0.01
지금으로서는,1,0.01
네이비색이,1,0.01
나오긴,1,0.01
장소를,1,0.01
2개였으며,1,0.01
1개였습니다,1,0.01
퀄리티가,1,0.01
배송조회에,1,0.01
황당하네요,1,0.01
해결합니까,1,0.01
나오길,1,0.01
기다리느라,1,0.01
구매한다고,1,0.01
착각했기,1,0.01
되면,1,0.01
사업은,1,0.01
종료되어야,1,0.01
d3,1,0.01
4잔을,1,0.01
먹고,1,0.01
3잔만,1,0.01
방을,1,0.01
충전식,1,0.01
팽창기를,1,0.01
정상적인,1,0.01
차이를,1,0.01
보호대는,1,0.01
플라스틱이에요,1,0.01
케이블이었으며,1,0.01
vga가,1,0.01
남자반지,1,0.01
처푸가,1,0.01
2명을,1,0.01
문의하여,1,0.01
7용,1,0.01
라이트닝,1,0.01
usb를,1,0.01
타이머가,1,0.01
고장나고,1,0.01
won,1,0.01
buy,1,0.01
from,1,0.01
this,1,0.01
store,1,0.01
anymore,1,0.01
베이스인,1,0.01
베이스였어요,1,0.01
관계를,1,0.01
유지해,1,0.01
짝퉁이라는,1,0.01
러프한,1,0.01
라쳇핀을,1,0.01
풀어서,1,0.01
제작한,1,0.01
복귀하려고,1,0.01
안전벨트를,1,0.01
매는,1,0.01
미개봉,1,0.01
오며,1,0.01
개봉해야,1,0.01
문구가,1,0.01
26일이었는데,1,0.01
치료를,1,0.01
끝부분이,1,0.01
남겨져,1,0.01
거칠습니다,1,0.01
사기이며,1,0.01
식별하지,1,0.01
잉크의,1,0.01
양을,1,0.01
클릭했는데,1,0.01
여자아이를,1,0.01
임신했기,1,0.01
신경을,1,0.01
돌아오기만을,1,0.01
터무니없었고,1,0.01
겹칩니다,1,0.01
보강재,1,0.01
담당자의,1,0.01
추천하나요,1,0.01
저장고가,1,0.01
가격에도,1,0.01
상의조차,1,0.01
발송을,1,0.01
수행할,1,0.01
불편해요,1,0.01
바라테온에게,1,0.01
알렸는데도,1,0.01
권유했는데,1,0.01
담요는,1,0.01
브라스의,1,0.01
담요보다,1,0.01
옷걸이,1,0.01
공급업체입니다,1,0.01
고체,1,0.01
물리학,1,0.01
입문,1,0.01
ivan,1,0.01
oliveira라는,1,0.01
vitor,1,0.01
jesus는,1,0.01
분실되고,1,0.01
교환되지,1,0.01
부탁합니다,1,0.01
품질관리를,1,0.01
통과하지,1,0.01
tommy,1,0.01
hilfiger라는,1,0.01
괜찮은,1,0.01
gabriela,1,0.01
sabatini,1,0.01
접착식,1,0.01
가짜일까요,1,0.01
z3,1,0.01
plus,1,0.01
e6533용이지만,1,0.01
장치의,1,0.01
화면을,1,0.01
덮지도,1,0.01
심각하고,1,0.01
오늘날까지도,1,0.01
정체되어,1,0.01
sed가,1,0.01
쓰는데,1,0.01
같은날,1,0.01
주문건은,1,0.01
받았어야,1,0.01
오류는,1,0.01
커플링만,1,0.01
취소신청하고,1,0.01
환불해드렸습니다,1,0.01
정리정돈,1,0.01
확인해보세요,1,0.01
망치다,1,0.01
윈도우,1,0.01
5m인,1,0.01
남성과,1,0.01
여성의,1,0.01
개에는,1,0.01
windows에서,1,0.01
다른상품도,1,0.01
수락했지만,1,0.01
9일이,1,0.01
15x13을,1,0.01
13x18을,1,0.01
도구를,1,0.01
비슷하지도,1,0.01
고려하는,1,0.01
것조차,1,0.01
예방,1,0.01
접종으로,1,0.01
아이와,1,0.01
나갈,1,0.01
집도,1,0.01
가깝지,1,0.01
아가베,1,0.01
받기엔,1,0.01
할부가,1,0.01
마감되었으며,1,0.01
블랙이,1,0.01
모델로도,1,0.01
불가능했어요,1,0.01
일요일에,1,0.01
담당자가,1,0.01
상관없는,1,0.01
나와있는,1,0.01
주겠다고,1,0.01
아름다웠습니다,1,0.01
번진,1,0.01
흉한,1,0.01
합성,1,0.01
3번,1,0.01
결제되었습니다,1,0.01
되었나요,1,0.01
28일,1,0.01
의존해야,1,0.01
보십시오,1,0.01
주까지,1,0.01
두번,1,0.01
틀려서,1,0.01
그랬고,1,0.01
6시에,1,0.01
파이프라인을,1,0.01
rj에서,1,0.01
출발했는데,1,0.01
운송되었으며,1,0.01
이미지에서는,1,0.01
1리터인지,1,0.01
500ml인지,1,0.01
목소리에,1,0.01
almofadas,1,0.01
para,1,0.01
beb,1,0.01
na,1,0.01
forma,1,0.01
elefante,1,0.01
mas,1,0.01
recebi,1,0.01
apenas,1,0.01
uma를,1,0.01
타이틀,1,0.01
소재인,1,0.01
아기편지만,1,0.01
없어진데,1,0.01
달라보였어요,1,0.01
고소인에게,1,0.01
열겠습니다,1,0.01
인젝터,1,0.01
노즐만,1,0.01
구이구이,1,0.01
프리다,1,0.01
셰이커를,1,0.01
15였습니다,1,0.01
belo,1,0.01
horizonte,1,0.01
mg에,1,0.01
접수된,1,0.01
아름답다고,1,0.01
생각하지만,1,0.01
봉지에,1,0.01
냄비는,1,0.01
만드나요,1,0.01
성공했는데,1,0.01
통과되었습니다,1,0.01
방수포처럼,1,0.01
일부상품만,1,0.01
기뻐할,1,0.01
의사를,1,0.01
주장하지,1,0.01
피해,1,0.01
20을,1,0.01
60으로,1,0.01
정전이,1,0.01
메뉴,1,0.01
보호판이,1,0.01
조절기와,1,0.01
30초,1,0.01
켜졌다가,1,0.01
꺼집니다,1,0.01
oslit,1,0.01
부상을,1,0.01
모습일지,1,0.01
유청단백질과,1,0.01
유청만,1,0.01
일주일이,1,0.01
해결될,1,0.01
로얄침대스커트는,1,0.01
쇼핑할,1,0.01
모방품을,1,0.01
20일이고,1,0.01
19일이었습니다,1,0.01
스커트는,1,0.01
일자형이,1,0.01
잔뜩,1,0.01
오픈한,1,0.01
상태였기,1,0.01
비축해,1,0.01
두었습니다,1,0.01
향과,1,0.01
떨어져서,1,0.01
제품이에요,1,0.01
멀티미디어,1,0.01
센터가,1,0.01
안정적으로,1,0.01
유지되지도,1,0.01
지켜주는,1,0.01
배송기사님께,1,0.01
서명이,1,0.01
서명하지,1,0.01
우체부에서,1,0.01
청구되었지만,1,0.01
smente,1,0.01
track,1,0.01
m10을,1,0.01
train,1,0.01
m18을,1,0.01
28인데,1,0.01
코메코에서,1,0.01
메이디에서,1,0.01
불일치가,1,0.01
많음,1,0.01
유닛만,1,0.01
캔세트를,1,0.01
마미타스,1,0.01
marmitas,1,0.01
모두에게,1,0.01
분명해야합니다,1,0.01
졸업을,1,0.01
분류해보겠습니다,1,0.01
잘못받았어요,1,0.01
다른사람,1,0.01
어떡해야할지,1,0.01
발표한,1,0.01
상의하지,1,0.01
저희에게,1,0.01
나왔을,1,0.01
묶인,1,0.01
배치,1,0.01
정보와,1,0.01
amazon에,1,0.01
아마존에서는,1,0.01
배치가,1,0.01
가짜일,1,0.01
엽니다,1,0.01
게시하십시오,1,0.01
게시할,1,0.01
주문상태가,1,0.01
완료되었다고,1,0.01
xerox,1,0.01
조립하거나,1,0.01
진품인지,1,0.01
복제품인지는,1,0.01
검은색과,1,0.01
정사각형의,1,0.01
상자와는,1,0.01
지워졌고,1,0.01
물건에서,1,0.01
동부그렐라만,1,0.01
더블시트를,1,0.01
싱글이,1,0.01
똑같이,1,0.01
팔아요,1,0.01
60개로,1,0.01
단위라고,1,0.01
단위밖에,1,0.01
32g,1,0.01
261,1,0.01
140,1,0.01
레알이었고,1,0.01
16g,1,0.01
카드와,1,0.01
개자식들,1,0.01
한꺼번에,1,0.01
만들었음에도,1,0.01
초교체일에,1,0.01
보내는지,1,0.01
반송했습니다,1,0.01
노력하지만,1,0.01
불평하라고,1,0.01
낮다는,1,0.01
명시되지,1,0.01
반제품을,1,0.01
모니터링하고,1,0.01
팀으로부터,1,0.01
답변만,1,0.01
드라이버에,1,0.01
최신이지만,1,0.01
pc에서는,1,0.01
거칠고,1,0.01
따뜻합니다,1,0.01
좌절스러운,1,0.01
포기했는데,1,0.01
주인은,1,0.01
대리점을,1,0.01
방문해야,1,0.01
3시간,1,0.01
출발했지만,1,0.01
es에는,1,0.01
정했지만,1,0.01
불안한,1,0.01
6병이어야,1,0.01
nutritional은,1,0.01
캡슐당,1,0.01
제공하며,1,0.01
2캡슐,1,0.01
섭취를,1,0.01
12일로,1,0.01
부츠를,1,0.01
불가능하기,1,0.01
근거인지는,1,0.01
교통수단이,1,0.01
필요함,1,0.01
때와,1,0.01
자르는,1,0.01
그렇다면,1,0.01
판매자와의,1,0.01
커뮤니케이션이,1,0.01
실패하여,1,0.01
h2o,1,0.01
오토테모,1,0.01
고민이에요,1,0.01
03롤을,1,0.01
02롤만,1,0.01
소재와,1,0.01
비닐롤,1,0.01
핑크롤,1,0.01
연어롤,1,0.01
세탁이,1,0.01
tnt였습니다,1,0.01
석탄이,1,0.01
튀어나왔습니다,1,0.01
교환신청합니다,1,0.01
마감시간,1,0.01
전에도,1,0.01
코리노,1,0.01
연결하려고,1,0.01
논평할,1,0.01
아이다,1,0.01
못봐서,1,0.01
고객과의,1,0.01
사양보다,1,0.01
예정인,1,0.01
종류가,1,0.01
사진인,1,0.01
붙이려고,1,0.01
좌절감,1,0.01
종이에서,1,0.01
떼어내기가,1,0.01
어려웠고,1,0.01
떼어냈을,1,0.01
낭비됐어,1,0.01
29일인데,1,0.01
키트의,1,0.01
당했습니다,1,0.01
사기꾼입니다,1,0.01
12kg,1,0.01
규정한,1,0.01
우울하다,1,0.01
처리하지,1,0.01
통화를,1,0.01
똑같을줄알고,1,0.01
온도계에,1,0.01
7일입니다,1,0.01
배송기사의,1,0.01
의문이,1,0.01
뷰티,1,0.01
경유,1,0.01
지연되었기,1,0.01
40m라고,1,0.01
70cm로,1,0.01
카시트의,1,0.01
추적코드만,1,0.01
사이트에는,1,0.01
가지만,1,0.01
조심하세요,1,0.01
프로젝트,1,0.01
실행,1,0.01
제조사는,1,0.01
누구입니까,1,0.01
업무에,1,0.01
소비되는,1,0.01
272,1,0.01
681,1,0.01
476,1,0.01
알레그레의,1,0.01
correios,1,0.01
부대에,1,0.01
14일에,1,0.01
제안,1,0.01
반품합니다,1,0.01
당구,1,0.01
팁스토어에서,1,0.01
푸스볼,1,0.01
컴플릿,1,0.01
풋볼,1,0.01
청구되었으나,1,0.01
2일이,1,0.01
주문품을,1,0.01
21일로,1,0.01
정했고,1,0.01
해결되면,1,0.01
가게인데,1,0.01
원산지,1,0.01
확실성과,1,0.01
강화,1,0.01
유리의,1,0.01
baseus,1,0.01
arc,1,0.01
galaxy,1,0.01
se에서,1,0.01
슈퍼,1,0.01
스퀴지,1,0.01
세척제,1,0.01
당황스럽더군요,1,0.01
대만,1,0.01
선택했다고,1,0.01
크림색과,1,0.01
판자에,1,0.01
다리는,1,0.01
막판에,1,0.01
칠한,1,0.01
판자의,1,0.01
16개,1,0.01
내일은,1,0.01
해결해보겠습니다,1,0.01
파손되었고,1,0.01
부품은,1,0.01
제작되었습니다,1,0.01
찾으려면,1,0.01
프라임용,1,0.01
조카에게,1,0.01
오른쪽에만,1,0.01
조카는,1,0.01
울었어요,1,0.01
켜지,1,0.01
불을,1,0.01
켜세요,1,0.01
nokia,1,0.01
제품이어야,1,0.01
부착되어,1,0.01
사용했음을,1,0.01
칩을,1,0.01
동작하지,1,0.01
did,1,0.01
not,1,0.01
receive,1,0.01
purchase,1,0.01
correctly,1,0.01
보았으나,1,0.01
온라인을,1,0.01
배송지로,1,0.01
12일인데,1,0.01
해야하나요,1,0.01
지연에도,1,0.01
번째였기,1,0.01
12시,1,0.01
40분쯤에,1,0.01
비닐이,1,0.01
천이라는,1,0.01
작네요,1,0.01
괜찮았습니다,1,0.01
보내주다,1,0.01
베갯잇도,1,0.01
부실하고,1,0.01
유리제품이라,1,0.01
어떨지,1,0.01
세탁바구니는,1,0.01
참고해주세요,1,0.01
계산한,1,0.01
금액과,1,0.01
3배,1,0.01
높았음을,1,0.01
상담할,1,0.01
이메일로도,1,0.01
터무니없다고,1,0.01
생각함,1,0.01
향후,1,0.01
조명으로,1,0.01
배달하면,1,0.01
해줬으면,1,0.01
약속했지만,1,0.01
배송하려면,1,0.01
사건으로,1,0.01
불안감이,1,0.01
커진,1,0.01
선반은,1,0.01
주문에서,1,0.01
옷걸이를,1,0.01
x4,1,0.01
폭탄은,1,0.01
램프만,1,0.01
리베라,1,0.01
5피스,1,0.01
교환받고,1,0.01
jeep,1,0.01
renegade,1,0.01
센터로부터,1,0.01
jeep이나,1,0.01
elantra,1,0.01
40일전에,1,0.01
깔끔한,1,0.01
열악하게,1,0.01
포장되었습니다,1,0.01
아마추어,1,0.01
뒷마당,1,0.01
맺은,1,0.01
스타크가,1,0.01
부끄럽습니다,1,0.01
베네딕트,1,0.01
메달은,1,0.01
체인에는,1,0.01
3개월이,1,0.01
여름이,1,0.01
지나고,1,0.01
유니콘,1,0.01
플로트를,1,0.01
텐트에,1,0.01
안주면,1,0.01
되니까,1,0.01
가지지,1,0.01
설명해야,1,0.01
헤드셋에,1,0.01
k1을,1,0.01
kb1을,1,0.01
사용은,1,0.01
안해봤습니다,1,0.01
면도날,1,0.01
분쇄기였는데,1,0.01
가공,1,0.01
도와드리기,1,0.01
대리점으로,1,0.01
대리점에서는,1,0.01
복원용,1,0.01
마스크는,1,0.01
실런트도,1,0.01
부실해서,1,0.01
새더라구요,1,0.01
상품색상변경요청했는데,1,0.01
해결해달라고,1,0.01
불평한,1,0.01
2개에서만,1,0.01
작동한다는,1,0.01
대표한다는게,1,0.01
estelionato,1,0.01
passaros는,1,0.01
1달됐네요,1,0.01
변경하는,1,0.01
메탈펜,1,0.01
나온다,1,0.01
펜과,1,0.01
불평하지,1,0.01
분개해서,1,0.01
뵙겠습니다,1,0.01
반송했는데,1,0.01
pac로,1,0.01
입력했지만,1,0.01
06정,1,0.01
염소를,1,0.01
웨이프로틴만,1,0.01
전자송장을,1,0.01
알부맥스만,1,0.01
공급자의,1,0.01
이해할,1,0.01
aqui에서,1,0.01
꼼꼼히,1,0.01
살펴봤습니다,1,0.01
규정에,1,0.01
연락하겠습니다,1,0.01
예상일,1,0.01
04인데,1,0.01
입력했는데도,1,0.01
갈색이,1,0.01
소매업체에,1,0.01
문의해,1,0.01
주인이,1,0.01
식기세척기,1,0.01
쓰여진,1,0.01
열악했습니다,1,0.01
협의해야,1,0.01
보라색이라고,1,0.01
써있지만,1,0.01
파란색이에요,1,0.01
4a입니다,1,0.01
불평,1,0.01
현재는,1,0.01
길었고,1,0.01
카니발에,1,0.01
com만큼,1,0.01
네트워크가,1,0.01
두는,1,0.01
허용할,1,0.01
쿠바는,1,0.01
물건인지도,1,0.01
우체부가,1,0.01
하이네켄,1,0.01
접시,1,0.01
날을,1,0.01
상판은,1,0.01
정보도받지,1,0.01
결제했으므로,1,0.01
밀봉포장된,1,0.01
왔던,1,0.01
좌석에,1,0.01
남겼어,1,0.01
삐뚤어져서,1,0.01
조각의,1,0.01
피팅이,1,0.01
케이크가,1,0.01
떨어질,1,0.01
단단하지,1,0.01
책임지고,1,0.01
디에고,1,0.01
마차도,1,0.01
로페즈가,1,0.01
노인의,1,0.01
가지가,1,0.01
02월,1,0.01
04일에,1,0.01
제거했을,1,0.01
외관상으로는,1,0.01
그것만으로는,1,0.01
소스와,1,0.01
이미터가,1,0.01
전송,1,0.01
여는,1,0.01
번졌고,1,0.01
불가능하거나,1,0.01
진행하겠습니다,1,0.01
팝콘팬이었어,1,0.01
신자는,1,0.01
아니지,1,0.01
바랬는데,1,0.01
그렇고,1,0.01
낡아,1,0.01
공급자에게,1,0.01
찍고,1,0.01
영상도,1,0.01
찍었는데,1,0.01
그때도,1,0.01
싶기,1,0.01
고객간,1,0.01
인형인,1,0.01
중국산이었습니다,1,0.01
장난감이,1,0.01
만들어졌는지,1,0.01
바뀌지,1,0.01
pc가,1,0.01
약어를,1,0.01
발견했다,1,0.01
작아서요,1,0.01
